date,msft_price,amzn_price,googl_price,aapl_price,fb_price,brkb_price,mcd_price,hd_price,xom_price,unh_price,,,
11/01/2017,83.18,55.18,52.13,41.72,182.66,187.17,166.37,165.38,83.87,209.53,,,
11/02/2017,84.05,54.71,52.15,42.03,178.92,188.61,168.1,162.71,83.53,211.1,,,
11/03/2017,84.14,55.58,52.5,43.12,178.92,187.27,168.65,164.39,83.18,212.87,,,
11/06/2017,84.47,56.03,52.13,43.56,180.17,186.68,170.07,164.22,83.75,212.12,,,
11/07/2017,84.27,56.16,52.62,43.7,180.25,186.3,170.77,163.66,83.58,212.7,,,
11/08/2017,84.56,56.64,52.91,44.06,179.56,184.6,170.1,164.05,83.47,210.77,,,
11/09/2017,84.09,56.46,52.39,43.97,179.3,184.49,167,163.27,83.97,211.56,,,
11/10/2017,83.87,56.27,52.21,43.67,178.46,183.68,165.59,164.11,82.94,211.07,,,
11/13/2017,83.93,56.46,52.06,43.49,178.77,184.4,167.37,165.35,82.89,212.66,,,
11/14/2017,84.05,56.84,52.08,42.84,178.07,183.34,168.11,168.06,82.24,211.71,,,
11/15/2017,82.98,56.33,51.82,42.27,177.95,181.81,167.32,165.47,81.21,209.86,,,
11/16/2017,83.2,56.86,52.42,42.77,179.59,182.05,168.09,167.5,80.56,211.13,,,
11/17/2017,82.4,56.49,51.79,42.54,179,181.06,166.72,167.74,80.24,209.9,,,
11/20/2017,82.53,56.32,51.73,42.49,178.74,181.63,166.93,170.45,80.55,210.25,,,
11/21/2017,83.72,56.97,52.52,43.28,181.86,183.18,168.3,172.86,80.87,212.6,,,
11/22/2017,83.11,57.81,52.6,43.74,180.87,182.56,169.05,172.06,81.1,211.22,,,
11/24/2017,83.26,59.3,52.83,43.74,182.78,182.36,169.11,172.33,81.42,212.51,,,
11/27/2017,83.87,59.79,53.6,43.52,183.03,183.49,168.96,174.16,81.11,212.4,,,
11/28/2017,84.88,59.68,53.16,43.27,182.42,187.54,171.34,176.57,81.67,216.14,,,
11/29/2017,83.34,58.06,51.87,42.37,175.13,189.85,170.43,177.25,82.27,222.88,,,
11/30/2017,84.17,58.84,51.81,42.96,177.18,193.01,171.97,179.82,83.29,228.17,,,
12/01/2017,84.26,58.12,51.25,42.76,175.1,194.56,172.87,180.42,83.46,226.78,,,
12/04/2017,81.08,56.7,50.59,42.45,171.47,196.96,170.65,184.9,83.57,221.42,,,
12/05/2017,81.59,57.08,50.98,42.41,172.83,196.07,172.99,182.85,82.89,220.09,,,
12/06/2017,82.78,57.62,51.64,42.25,176.06,196.01,173.48,180.8,82.28,219.94,,,
12/07/2017,82.49,57.99,52.23,42.33,180.14,196.34,172.91,182,82.55,220.15,,,
12/08/2017,84.16,58.1,52.47,42.34,179,196.44,173.15,183.41,82.66,223.91,,,
12/11/2017,85.23,58.45,52.6,43.17,179.04,196.7,173.25,182.25,83.03,222.77,,,
12/12/2017,85.58,58.25,52.44,42.92,176.96,199.07,172.23,181.8,82.76,222.49,,,
12/13/2017,85.35,58.21,52.57,43.07,178.3,197.4,173.55,183.03,83.12,224.35,,,
12/14/2017,84.69,58.71,52.87,43.05,178.39,196.66,173.14,182.13,82.9,221.25,,,
12/15/2017,86.85,58.96,53.6,43.49,180.18,197.78,174.06,182.58,83.03,221.82,,,
12/18/2017,86.38,59.53,54.25,44.1,180.82,199.34,174.2,184.73,82.94,222.67,,,
12/19/2017,85.83,59.37,53.99,43.63,179.51,197.91,173.39,185.98,82.44,222.04,,,
12/20/2017,85.52,58.88,53.68,43.59,177.89,197.79,172.17,187.31,82.87,222.38,,,
12/21/2017,85.5,58.74,53.54,43.75,177.45,198.89,171.85,188.08,83.85,221.69,,,
12/22/2017,85.51,58.42,53.44,43.75,177.2,197.92,171.42,188.13,83.97,220,,,
12/26/2017,85.4,58.84,53.29,42.64,175.99,197.57,171.29,190.36,83.98,219.6,,,
12/27/2017,85.71,59.11,53.01,42.65,177.62,198.69,172.67,190.19,83.9,220.42,,,
12/28/2017,85.72,59.3,52.8,42.77,177.92,199.56,173.1,189.78,84.02,222.77,,,
12/29/2017,85.54,58.47,52.67,42.31,176.46,198.22,172.12,189.53,83.64,220.46,,,
01/02/2018,85.95,59.45,53.66,43.06,181.42,197.22,173.22,188.03,85.03,221.16,,,
01/03/2018,86.35,60.21,54.58,43.06,184.67,199.79,172.49,189.01,86.7,223.48,,,
01/04/2018,87.11,60.48,54.79,43.26,184.33,200.69,173.7,190.51,86.82,224.45,,,
01/05/2018,88.19,61.46,55.51,43.75,186.85,201.42,174.05,192.5,86.75,228.73,,,
01/08/2018,88.28,62.34,55.71,43.59,188.28,202.74,173.93,192.04,87.14,224.76,,,
01/09/2018,88.22,62.63,55.64,43.58,187.87,203.02,173.54,193.1,86.77,225.88,,,
01/10/2018,87.82,62.72,55.51,43.57,187.84,205.61,173.51,191.8,86.08,224.2,,,
01/11/2018,88.08,63.83,55.6,43.82,187.77,206.69,173.39,194.68,86.93,225.39,,,
01/12/2018,89.6,65.26,56.53,44.27,179.37,210.16,173.57,196.42,87.52,228.64,,,
01/16/2018,88.35,65.24,56.53,44.05,178.39,210.29,173.68,196.31,86.97,232.9,,,
01/17/2018,90.14,64.75,56.95,44.77,177.6,214.16,174.98,199.82,88,238.43,,,
01/18/2018,90.1,64.67,56.8,44.81,179.8,213.19,174.57,198.33,87.43,243.16,,,
01/19/2018,90,64.73,57.17,44.62,181.29,213.25,176.12,201.33,87.15,243.35,,,
01/22/2018,91.61,66.37,58.21,44.25,185.37,215.97,176.21,204.46,88.25,243.56,,,
01/23/2018,91.9,68.13,58.81,44.26,189.35,215.56,176.81,204.9,88.3,245.21,,,
01/24/2018,91.82,67.88,58.56,43.55,186.55,215.61,176.12,206.22,88.53,244.85,,,
01/25/2018,92.33,68.9,59.11,42.78,187.48,215.1,175.66,205.37,88.37,245.18,,,
01/26/2018,94.06,70.1,59.38,42.88,190,217.19,178.36,207.23,89,248.47,,,
01/29/2018,93.92,70.88,59.32,41.99,185.98,215.46,177.77,204.92,88.01,247.41,,,
01/30/2018,92.74,71.89,58.87,41.74,187.12,214.41,172.48,201.81,86.78,236.65,,,
01/31/2018,95.01,72.54,59.11,41.86,186.89,214.38,171.14,200.9,87.3,236.78,,,
02/01/2018,94.26,69.5,59.08,41.95,193.09,217.25,171.9,199.9,89.07,235.22,,,
02/02/2018,91.78,71.5,55.96,40.12,190.28,209.12,169.38,193.97,84.53,231.88,,,
02/05/2018,88,69.5,53.12,39.12,181.26,196.8,163.85,183.11,79.72,220.02,,,
02/06/2018,91.33,72.14,54.22,40.76,185.31,201.24,165.18,191.04,78.35,225.18,,,
02/07/2018,89.61,70.84,52.77,39.88,180.18,200.37,165.71,191.29,76.94,225.82,,,
02/08/2018,85.01,67.53,50.39,38.79,171.58,191.42,158.97,181.22,76.07,216.46,,,
02/09/2018,88.18,66.98,52.31,39.1,176.11,196.02,160.8,184.12,75.78,220.96,,,
02/12/2018,89.13,69.31,52.73,40.68,176.41,198.89,163.9,184.06,76.42,225.69,,,
02/13/2018,89.83,70.73,52.71,41.09,173.15,197.99,162.4,183.72,76.3,226.64,,,
02/14/2018,90.81,72.55,53.63,41.84,179.52,200.54,159.99,184.69,76.46,228.78,,,
02/15/2018,92.66,73.09,54.57,43.25,179.96,203.9,160.78,185.27,76.21,226.02,,,
02/16/2018,92,72.43,54.77,43.11,177.36,203.79,157.79,186.97,76.54,229.37,,,
02/20/2018,92.72,73.42,55.18,42.96,176.01,203.05,157.16,186.71,75.75,226.66,,,
02/21/2018,91.49,74.15,55.69,42.77,177.91,201.02,158.64,183.06,74.89,225.13,,,
02/22/2018,91.73,74.27,55.49,43.12,178.99,200.73,160.66,185.47,75.86,227.09,,,
02/23/2018,94.06,75,56.4,43.88,183.29,202.76,163.06,188.35,77.53,230.16,,,
02/26/2018,95.42,76.1,57.19,44.74,184.93,210.62,163.58,188.46,78.84,234.06,,,
02/27/2018,94.2,75.6,55.88,44.6,181.46,209.66,160.66,184.98,77.5,232.52,,,
02/28/2018,93.77,75.62,55.2,44.53,178.32,207.2,157.74,182.27,75.74,226.16,,,
03/01/2018,92.85,74.67,53.57,43.75,175.94,201.53,155.7,179.64,75.2,224.45,,,
03/02/2018,93.05,75.01,54.21,44.05,176.62,201.34,148.27,178.46,75.55,225.19,,,
03/05/2018,93.64,76.18,54.74,44.2,180.4,203.24,151.03,181.74,76.27,228.38,,,
03/06/2018,93.32,76.88,55.05,44.17,179.78,204.55,151.2,181.64,76.18,226.18,,,
03/07/2018,93.86,77.25,55.75,43.76,183.71,204.3,152.38,178.58,74.26,227.27,,,
03/08/2018,94.43,77.59,56.47,44.23,182.34,205.29,154.44,177.94,74.12,224.73,,,
03/09/2018,96.54,78.94,58.04,44.99,185.23,212.94,157.24,182.16,74.56,225.43,,,
03/12/2018,96.77,79.92,58.3,45.43,184.76,211.82,157.74,179.71,75.24,222.77,,,
03/13/2018,94.41,79.41,57,44.99,181.88,209.13,158.22,178.35,74.53,226.94,,,
03/14/2018,93.85,79.55,57.44,44.61,184.19,206.99,158.24,177.41,73.6,225.38,,,
03/15/2018,94.18,79.12,57.53,44.66,183.86,207.82,161.61,178.07,74.42,229.48,,,
03/16/2018,94.6,78.58,56.72,44.51,185.09,206.96,162.36,178.96,75.12,227.86,,,
03/19/2018,92.89,77.25,55,43.83,172.56,203.99,159.01,177.1,74.15,225.05,,,
03/20/2018,93.13,79.33,54.79,43.81,168.15,204.75,159.38,178.16,73.99,226.78,,,
03/21/2018,92.48,79.09,54.7,42.82,169.39,204.83,158.66,178.02,75.04,222.82,,,
03/22/2018,89.79,77.25,52.66,42.21,164.89,197.63,157.04,175.29,73.5,215.21,,,
03/23/2018,87.18,74.78,51.33,41.23,159.39,192.46,154.98,171.8,72.89,212.55,,,
03/26/2018,93.78,77.79,52.7,43.19,160.06,199.34,158.01,176.38,74,219.07,,,
03/27/2018,89.47,74.85,50.35,42.09,152.22,196.15,157.48,174.68,73.7,217.96,,,
03/28/2018,89.39,71.57,50.26,41.62,153.03,196.67,158.41,174.76,72.81,218.5,,,
03/29/2018,91.27,72.37,51.86,41.95,159.79,199.48,156.38,178.24,74.61,214,,,
04/02/2018,88.52,68.6,50.63,41.67,155.39,195,157.72,172.9,73.22,217.2,,,
04/03/2018,89.71,69.6,50.93,42.1,156.11,197.96,160.4,173.76,75.02,224.58,,,
04/04/2018,92.33,70.53,51.49,42.9,155.1,200.11,161.73,177.44,74.87,228.79,,,
04/05/2018,92.38,72.59,51.63,43.2,159.34,200.85,163.95,179.13,76.02,229.07,,,
04/06/2018,90.23,70.26,50.5,42.09,157.2,195.49,161.25,174.45,74.87,223.96,,,
04/09/2018,90.77,70.3,51,42.51,157.93,195.33,161.23,172.51,74.87,222.73,,,
04/10/2018,92.88,71.81,51.83,43.31,165.04,197.8,162.77,173.49,77.07,226.79,,,
04/11/2018,91.86,71.35,51.25,43.11,166.32,195.22,163.34,172.86,77.43,221.9,,,
04/12/2018,93.58,72.42,51.86,43.53,163.87,198.13,161.62,173.36,77.22,224.24,,,
04/13/2018,93.08,71.54,51.8,43.68,164.52,197,161.73,172.8,77.84,224.28,,,
04/16/2018,94.17,72.08,52.3,43.95,164.83,198.22,161.63,174.43,78.54,230.32,,,
04/17/2018,96.07,75.19,53.97,44.56,168.66,199.27,162.55,174.91,78.33,238.55,,,
04/18/2018,96.44,76.39,53.77,44.46,166.36,199.51,161.81,179.85,79.22,236.4,,,
04/19/2018,96.11,77.85,54.47,43.2,168.1,200.38,159.53,177.08,79.42,235.76,,,
04/20/2018,95,76.37,53.87,41.43,166.28,200.13,158.77,177.01,79,235.06,,,
04/23/2018,95.35,75.89,53.69,41.31,165.84,199.42,158.99,177.66,79.57,234.34,,,
