Date_Time,JP_Morgan,Aflac,American_International_Group,Caterpillar,3M,Exxon,American_Express,Nextera,Qualcomm,Broadcom,Cisco,Square,Apple,Facebook,Deutsche_Boerse,Nasdaq_Inc
1/7/2019,100.76,45.16,40.41,128.23,190.88,71.52,98.17,43.07,56.44,237.98,43.21,60.72,36.98,138.05,107.25,26.60
1/8/2019,100.57,45.30,40.57,129.77,191.68,72.04,98.65,43.38,55.95,236.07,43.56,63.12,37.69,142.53,107.50,26.53
1/9/2019,100.40,45.20,41.16,130.27,192.30,72.42,98.83,43.20,56.61,246.28,43.32,65.93,38.33,144.23,107.90,26.66
1/10/2019,100.39,45.77,41.42,132.96,193.60,72.05,98.26,43.85,56.80,249.52,43.24,66.10,38.45,144.20,108.00,26.85
1/11/2019,99.91,45.69,41.66,132.10,192.21,71.72,98.55,43.93,57.50,250.57,43.49,66.23,38.07,143.80,108.70,26.90
1/14/2019,100.94,45.93,42.00,131.80,192.17,71.63,98.44,42.81,57.30,250.87,43.21,65.18,37.50,145.39,107.95,26.84
1/15/2019,101.68,46.40,42.45,130.69,188.94,71.67,97.99,43.68,55.73,256.49,44.02,65.96,38.27,148.95,109.35,27.01
1/16/2019,102.50,46.81,43.13,131.66,189.48,71.64,99.41,43.67,55.27,251.70,43.96,65.90,38.74,147.54,111.85,27.65
1/17/2019,102.92,47.32,43.29,134.54,191.71,72.13,99.49,43.87,54.77,255.33,44.21,68.84,38.97,148.30,112.90,27.48
1/18/2019,104.59,47.70,44.16,136.60,195.86,72.99,100.48,44.02,55.27,260.82,45.03,72.24,39.21,150.04,114.45,27.71
1/22/2019,102.94,47.39,43.36,132.24,192.26,71.89,99.83,44.35,54.29,258.29,44.78,67.85,38.33,147.57,114.65,27.80
1/23/2019,102.68,47.64,42.82,131.82,192.29,71.30,99.71,44.85,51.77,257.52,45.46,69.10,38.48,144.30,113.25,28.24
1/24/2019,102.74,47.33,42.94,132.73,192.52,71.40,99.72,45.07,50.81,263.55,45.61,73.94,38.17,145.83,114.55,28.33
1/25/2019,103.39,47.57,43.18,136.86,195.90,71.72,100.77,43.55,51.30,267.94,46.13,77.97,39.44,149.01,114.60,28.56
1/28/2019,103.88,47.35,42.82,124.37,193.20,71.24,100.38,43.12,50.64,267.62,45.75,76.22,39.08,147.47,114.95,28.69
1/29/2019,104.17,47.11,42.26,126.53,196.95,71.51,100.96,43.22,49.40,266.32,45.96,68.56,38.67,144.19,115.65,28.60
1/30/2019,104.41,47.38,42.81,130.11,199.27,72.29,102.67,43.40,50.17,270.82,46.71,71.53,41.31,150.42,116.65,28.90
1/31/2019,103.50,47.70,43.23,133.16,200.30,73.28,102.70,44.74,49.52,268.25,47.29,71.35,41.61,166.69,115.90,29.35
2/1/2019,103.88,47.94,43.82,130.91,199.16,75.92,103.06,44.46,49.61,266.81,47.34,70.80,41.63,165.71,116.25,29.13
2/4/2019,104.25,48.02,44.00,130.88,200.21,74.82,103.42,44.53,49.69,272.12,47.35,71.75,42.81,169.25,115.55,28.99
2/5/2019,103.79,48.22,43.66,132.00,201.12,75.59,103.90,44.54,50.73,270.00,47.26,72.28,43.54,171.16,115.60,28.94
2/6/2019,103.74,48.40,43.65,130.54,202.57,75.26,104.96,44.53,51.10,276.21,47.48,72.67,43.56,170.49,115.80,28.98
2/7/2019,102.38,48.45,42.83,128.78,199.84,74.68,104.39,45.34,50.55,269.09,46.70,71.95,42.74,166.38,115.55,28.94
2/8/2019,101.36,48.18,42.45,128.60,199.82,73.98,104.52,45.75,50.29,274.06,47.19,73.49,42.60,167.33,114.35,29.02
2/11/2019,100.88,48.27,43.05,128.93,200.91,74.10,105.41,45.75,50.83,275.72,47.58,74.32,42.36,165.79,112.15,28.90
2/12/2019,102.60,48.94,43.83,132.67,206.57,75.40,107.00,45.82,51.66,279.39,47.89,75.59,42.72,165.04,113.80,29.19
2/13/2019,103.09,49.02,44.18,133.10,209.72,76.25,107.56,45.71,51.59,281.32,47.50,75.63,42.54,164.07,113.15,29.33
2/14/2019,102.42,48.60,40.19,132.62,204.93,76.27,106.62,45.65,51.57,281.50,48.40,75.67,42.70,163.95,113.90,29.05
2/15/2019,105.55,49.28,42.32,136.20,208.86,77.71,107.38,46.01,51.98,281.93,49.43,75.64,42.61,162.50,110.25,29.25
2/19/2019,105.18,48.99,42.99,135.80,208.41,78.23,106.50,46.34,52.01,281.66,49.65,76.64,42.73,162.29,111.30,29.27
2/20/2019,105.69,49.12,43.29,140.31,208.53,78.53,106.78,46.41,52.45,283.42,49.63,75.97,43.01,162.56,111.75,29.36
2/21/2019,105.47,48.90,43.01,138.88,207.77,77.82,106.61,46.64,52.35,280.94,49.41,74.43,42.76,160.04,110.75,29.36
2/22/2019,105.00,48.75,42.87,138.68,209.35,78.42,107.44,47.03,53.12,276.50,50.11,76.08,43.24,161.89,111.05,29.68
2/25/2019,106.10,48.96,43.83,141.41,210.58,78.50,106.93,46.97,52.99,278.60,50.79,77.13,43.56,164.62,111.10,30.05
2/26/2019,105.29,48.91,43.86,137.98,209.38,78.66,106.94,47.06,53.03,275.00,51.18,77.95,43.58,164.13,112.10,30.37
2/27/2019,105.16,48.99,43.47,139.58,209.03,79.47,107.42,46.70,53.04,271.49,51.59,79.32,43.72,162.81,112.00,30.27
2/28/2019,104.36,49.14,43.20,137.34,207.39,79.03,107.74,46.93,53.39,275.36,51.77,81.24,43.29,161.45,112.05,30.52
3/1/2019,104.43,49.17,43.23,137.47,207.49,80.00,108.90,46.89,54.20,272.75,51.41,77.46,43.74,162.28,109.85,30.66
3/4/2019,104.19,49.06,43.51,138.35,206.86,80.31,109.00,47.06,53.78,274.89,51.16,74.69,43.96,167.37,111.10,30.05
3/5/2019,104.11,49.15,43.17,137.14,203.84,80.19,108.85,47.08,53.94,277.01,51.30,76.04,43.88,171.26,113.00,29.58
3/6/2019,103.72,48.95,42.50,134.83,202.80,79.28,108.98,46.89,54.80,271.35,51.67,75.14,43.63,172.51,111.75,29.22
3/7/2019,102.97,48.63,41.81,132.80,199.86,80.16,107.86,46.98,54.03,265.51,51.29,74.11,43.13,169.13,112.00,28.66
3/8/2019,103.01,48.55,42.20,131.35,200.89,79.01,107.98,47.17,53.53,264.19,51.07,74.40,43.23,169.60,112.40,27.81
3/11/2019,104.35,49.07,42.82,133.11,207.10,79.78,109.56,47.38,54.35,269.06,51.92,75.53,44.72,172.07,112.70,28.01
3/12/2019,104.04,49.16,43.05,132.48,205.80,80.00,110.43,47.72,54.84,269.63,52.15,76.77,45.23,171.92,113.70,27.94
3/13/2019,104.39,49.39,43.79,133.50,206.66,80.71,112.14,47.74,55.39,271.21,52.59,77.85,45.43,173.37,113.10,28.35
3/14/2019,105.34,49.70,43.75,133.69,207.38,80.44,112.35,47.74,55.40,268.20,52.74,77.38,45.93,170.17,113.35,28.00
3/15/2019,106.55,49.95,44.04,132.67,208.08,80.15,113.52,47.81,56.60,290.29,53.20,76.65,46.53,165.98,114.65,27.85
3/18/2019,107.19,50.25,44.28,134.10,208.49,81.08,113.55,47.72,56.83,293.84,53.51,75.23,47.01,160.47,114.20,28.08
3/19/2019,106.80,50.10,43.86,134.15,209.02,80.87,112.67,47.13,56.97,299.31,53.31,76.81,46.63,161.57,115.60,28.05
3/20/2019,104.52,49.46,42.96,133.01,208.30,81.32,110.77,47.47,57.16,291.03,53.26,75.26,47.04,165.44,115.00,27.79
3/21/2019,102.87,49.97,43.43,134.06,209.61,81.79,111.82,47.98,57.77,296.80,53.94,78.53,48.77,166.08,115.70,28.12
3/22/2019,99.76,49.46,42.62,129.77,204.66,80.48,109.46,48.48,56.82,292.65,52.74,75.09,47.76,164.34,114.50,27.96
3/25/2019,98.93,49.52,42.45,131.38,203.21,79.92,109.04,48.40,56.64,292.16,52.73,74.55,47.19,166.29,111.10,28.30
3/26/2019,99.92,49.83,43.05,131.84,207.24,80.96,109.50,48.75,58.00,297.03,53.23,73.93,46.70,167.68,111.90,28.61
3/27/2019,99.58,49.82,43.14,131.20,207.16,80.34,108.98,48.48,56.91,295.97,53.14,72.97,47.12,165.87,111.20,28.70
3/28/2019,100.71,49.70,43.10,132.37,208.53,80.74,109.16,47.98,56.55,299.07,53.36,74.26,47.18,165.55,113.10,28.91
3/29/2019,101.23,50.00,43.06,135.49,207.78,80.80,109.30,48.33,57.03,300.71,53.99,74.92,47.49,166.69,113.75,29.16
4/1/2019,104.64,49.88,43.99,140.25,211.94,81.73,111.70,47.62,57.81,305.79,54.98,76.32,47.81,168.70,113.95,29.47
4/2/2019,105.14,49.25,43.55,140.19,212.13,81.38,111.00,47.37,58.09,303.05,55.29,75.60,48.51,174.20,114.30,29.67
4/3/2019,105.35,48.76,43.87,139.26,213.13,80.90,110.56,47.33,57.68,304.20,55.63,77.05,48.84,173.54,114.20,29.77
4/4/2019,105.56,48.78,44.60,140.13,215.03,82.05,110.12,47.10,57.86,302.00,55.14,74.52,48.92,176.02,115.50,29.73
4/5/2019,105.31,49.00,45.05,140.36,215.41,82.49,110.96,47.52,57.99,304.28,55.21,75.03,49.25,175.72,117.00,29.53
4/8/2019,105.65,49.12,44.87,139.82,215.02,83.00,110.70,47.16,57.76,304.48,55.49,75.00,50.03,174.93,116.60,29.59
4/9/2019,104.87,49.04,44.63,136.35,211.96,81.93,109.85,47.43,57.44,303.45,55.18,74.60,49.88,177.58,116.35,29.23
4/10/2019,105.34,49.21,44.88,137.53,212.11,81.56,110.16,47.15,56.33,307.51,55.82,74.74,50.15,177.82,116.10,29.17
4/11/2019,106.23,49.37,45.71,138.87,213.53,81.95,109.85,47.51,55.90,309.41,55.60,75.50,49.74,177.51,114.80,29.01
4/12/2019,111.21,49.51,46.19,141.20,217.42,80.92,110.91,47.71,56.95,317.03,56.29,75.28,49.72,179.10,115.25,29.27
4/15/2019,109.94,48.95,45.80,140.25,215.83,80.65,110.53,47.79,57.18,316.40,56.56,74.39,49.81,179.65,114.70,29.49
4/16/2019,111.10,49.59,46.74,142.03,216.90,81.20,111.88,47.38,70.45,318.50,56.95,73.49,49.81,178.87,114.55,29.92
4/17/2019,114.30,49.04,45.97,142.74,217.64,81.43,111.76,47.41,79.08,320.53,56.31,72.76,50.78,178.78,112.90,30.07
4/18/2019,113.46,48.92,46.04,143.36,218.88,81.13,113.67,47.34,79.89,318.62,56.40,70.74,50.97,178.28,117.50,30.00
4/22/2019,113.60,48.56,46.00,142.38,218.54,82.90,112.33,47.60,81.97,315.00,56.34,72.58,51.13,181.44,116.90,29.91
4/23/2019,113.74,48.91,45.98,142.03,219.50,83.38,113.97,47.45,86.72,315.64,56.69,72.45,51.87,183.78,118.05,29.88
4/24/2019,113.55,48.89,45.74,137.73,219.08,81.76,114.02,47.51,86.83,314.33,56.88,71.99,51.79,182.58,118.35,29.73
4/25/2019,113.61,49.18,45.19,136.13,190.72,82.22,115.88,47.62,85.07,311.82,56.33,72.65,51.32,193.26,118.70,29.81
4/26/2019,114.47,49.53,46.05,139.03,191.67,80.49,117.60,47.93,86.64,310.41,55.88,71.55,51.08,191.49,117.80,29.95
4/29/2019,116.12,49.72,46.99,139.02,190.21,79.97,116.76,47.94,87.25,312.72,56.13,72.72,51.15,194.78,117.35,30.48
4/30/2019,116.05,50.38,47.57,139.42,189.51,80.28,117.23,48.61,86.13,318.40,55.95,72.82,50.17,193.40,116.95,30.73
5/1/2019,115.16,50.22,46.87,138.15,186.07,78.67,117.02,48.32,86.37,318.90,55.58,73.62,52.63,193.03,118.90,30.77
5/2/2019,115.41,50.25,46.80,135.17,184.75,77.29,117.25,47.93,87.14,315.82,54.94,67.74,52.29,192.53,118.75,30.75
5/3/2019,116.12,50.49,47.11,139.06,185.22,77.47,119.35,48.10,89.29,315.71,54.94,68.52,52.94,195.47,118.85,30.71
5/6/2019,115.09,50.52,47.11,136.76,183.04,77.13,119.34,47.72,88.25,311.57,54.59,70.14,52.12,193.88,120.40,30.91
5/7/2019,113.21,50.11,50.30,133.67,179.12,76.72,118.22,47.44,85.20,307.29,53.45,68.42,50.72,189.77,121.05,30.30
5/8/2019,112.61,50.24,49.96,131.95,178.59,76.84,117.49,46.97,84.54,303.39,53.47,67.25,50.72,189.54,120.65,30.33
5/9/2019,112.52,50.49,50.83,131.20,175.28,76.77,117.26,47.15,83.78,304.06,52.92,66.39,50.18,188.65,117.30,30.39
5/10/2019,112.51,51.27,51.64,131.34,175.86,76.56,118.46,47.94,85.84,303.96,53.36,65.99,49.29,188.34,118.25,30.84
5/13/2019,109.45,50.47,50.72,125.30,174.07,75.71,115.90,48.73,83.89,293.38,51.30,62.39,46.43,181.54,118.00,30.30
5/14/2019,110.32,51.13,51.48,127.47,175.21,75.81,117.01,48.72,86.13,302.00,52.02,64.11,47.17,180.73,120.80,30.39
5/15/2019,109.90,51.31,51.85,127.30,174.12,76.37,117.66,48.72,86.26,304.37,52.44,65.23,47.73,186.27,121.40,30.25
5/16/2019,111.31,51.93,52.23,126.61,171.81,76.36,119.84,49.28,82.81,297.29,55.93,66.40,47.52,186.99,121.65,30.31
5/17/2019,110.77,52.18,52.37,122.76,169.09,75.91,119.07,49.74,81.50,289.89,56.35,65.31,47.25,185.30,122.35,30.10
5/20/2019,111.35,52.16,52.43,122.43,166.25,75.90,119.84,49.84,76.62,272.59,56.01,64.39,45.77,182.72,122.00,30.09
5/21/2019,111.73,51.95,52.50,124.95,167.30,76.25,120.55,49.72,77.75,275.33,56.52,65.92,46.65,184.82,121.90,30.43
5/22/2019,110.82,52.21,52.56,123.56,169.74,75.56,120.01,50.48,69.31,269.22,55.69,66.46,45.70,185.32,124.25,30.12
5/23/2019,108.64,51.52,52.20,122.26,165.87,73.79,118.43,50.88,68.26,260.09,54.19,63.75,44.92,180.87,123.35,30.01
5/24/2019,109.71,52.01,52.76,122.90,166.09,74.10,119.51,50.84,66.21,255.94,54.37,64.66,44.74,181.06,125.50,30.01
5/28/2019,108.52,51.30,52.07,121.59,163.35,72.61,118.17,50.29,65.37,254.48,53.93,65.82,44.56,184.31,125.00,29.99
5/29/2019,108.22,51.43,51.62,121.48,161.40,72.16,117.01,49.68,65.76,254.12,53.18,63.23,44.35,182.19,124.10,30.11
5/30/2019,107.06,51.57,51.94,121.84,160.58,71.97,116.74,49.74,66.59,256.62,53.57,63.67,44.58,183.01,123.60,30.22
5/31/2019,105.96,51.30,51.07,119.81,159.75,70.77,114.71,49.55,66.82,251.64,52.03,61.95,43.77,177.47,125.35,30.21
6/3/2019,106.46,52.43,52.71,120.65,160.04,71.88,114.62,49.90,66.66,253.18,51.78,60.62,43.33,164.15,123.75,30.24
6/4/2019,109.74,53.00,53.83,122.08,164.29,73.59,116.85,49.85,68.45,265.70,53.23,63.39,44.91,167.50,123.35,30.92
6/5/2019,110.13,53.76,53.68,123.12,163.85,72.98,118.12,51.16,67.02,265.72,54.75,64.93,45.63,168.17,124.80,32.06
6/6/2019,110.37,53.82,53.55,123.39,164.72,74.31,119.43,51.44,67.59,272.79,55.10,65.77,46.31,168.33,125.25,31.96
6/7/2019,109.16,54.55,52.91,124.46,166.61,74.58,121.11,51.10,68.69,274.87,55.93,68.46,47.54,173.35,125.25,32.05
6/10/2019,110.34,54.35,53.33,125.74,168.29,74.91,122.66,50.86,70.54,280.21,56.42,70.37,48.15,174.82,126.35,32.22
6/11/2019,110.68,54.04,53.08,127.28,168.91,74.84,123.23,50.49,71.24,283.48,57.11,70.18,48.70,178.10,126.95,31.75
6/12/2019,109.27,54.38,52.96,127.10,169.01,74.03,122.03,51.14,69.59,279.73,55.86,70.46,48.55,175.04,126.95,31.82
6/13/2019,109.54,54.47,53.20,127.17,168.85,74.68,121.86,51.19,69.93,281.61,56.17,72.18,48.54,177.47,125.75,31.81
6/14/2019,109.82,55.04,53.31,127.23,166.69,74.35,122.00,51.74,68.72,265.93,54.75,71.59,48.19,181.33,125.70,31.90
6/17/2019,109.22,54.55,52.99,127.32,166.78,75.09,121.45,51.59,69.11,265.97,55.40,72.21,48.47,189.01,124.75,31.72
6/18/2019,110.71,54.92,53.35,130.33,171.86,75.74,123.43,51.36,71.96,278.05,56.05,71.82,49.61,188.47,126.50,31.97
6/19/2019,109.91,55.14,53.60,130.61,170.75,75.32,124.68,51.56,71.80,277.49,56.13,72.66,49.47,187.48,126.30,32.17
6/20/2019,110.19,55.34,54.25,133.63,173.94,76.61,124.92,51.60,72.74,279.05,57.41,74.42,49.87,189.53,125.40,32.58
6/21/2019,109.44,54.95,53.65,133.89,173.35,77.69,124.73,51.89,72.72,273.99,57.03,72.87,49.70,191.14,126.80,32.76
6/24/2019,108.66,55.02,53.32,134.37,173.38,76.95,124.14,52.05,73.16,279.20,57.18,72.71,49.65,192.60,126.15,32.29
6/25/2019,107.76,54.95,52.73,133.71,172.03,76.27,123.16,51.56,72.55,276.51,56.08,69.87,48.89,188.84,126.85,32.67
6/26/2019,108.48,54.24,52.26,135.15,171.88,76.60,123.59,50.77,74.95,281.44,56.60,69.95,49.95,187.66,124.80,31.54
6/27/2019,108.84,54.55,53.05,135.50,171.50,75.82,123.94,51.14,75.43,285.71,55.73,71.28,49.94,189.50,123.50,32.06
6/28/2019,111.80,54.81,53.28,136.29,173.34,76.63,123.44,51.22,76.07,287.86,54.73,72.53,49.48,193.00,124.40,32.06
7/1/2019,113.68,55.82,53.84,136.60,174.51,76.56,124.92,51.01,77.52,300.35,54.74,73.20,50.39,193.00,127.90,32.38
7/2/2019,113.80,56.21,53.79,135.85,174.02,75.72,125.10,51.92,77.01,295.33,55.81,73.97,50.68,195.00,128.70,33.22
7/3/2019,112.82,56.85,54.83,135.59,174.98,76.44,125.86,52.18,76.63,284.89,56.48,74.26,51.10,197.20,129.40,33.81
7/5/2019,113.49,56.81,54.61,135.49,172.00,76.13,125.40,52.03,76.66,282.66,56.60,74.31,51.06,196.40,129.80,33.68
7/8/2019,112.87,56.65,54.96,134.84,169.19,76.48,124.85,52.28,76.63,274.96,56.19,73.43,50.01,195.76,128.50,33.61
7/9/2019,113.35,56.53,55.52,134.29,165.70,76.43,125.90,52.04,76.55,275.53,56.34,77.96,50.31,199.21,128.45,33.87
7/10/2019,113.02,56.51,55.73,132.64,165.70,77.51,126.89,52.37,74.36,274.50,57.13,78.37,50.81,202.73,128.35,34.34
7/11/2019,114.10,56.36,55.48,133.96,169.04,77.57,127.28,52.60,73.71,276.06,57.30,79.44,50.44,201.23,128.00,34.67
7/12/2019,115.30,56.89,56.27,138.36,173.34,77.63,127.96,52.18,74.90,285.39,57.95,82.28,50.83,204.87,128.35,34.76
7/15/2019,113.90,56.57,56.24,139.64,172.84,77.08,128.57,52.21,75.43,288.34,58.05,82.17,51.30,203.91,127.00,34.74
7/16/2019,115.12,56.11,56.03,139.09,176.49,75.93,128.06,51.97,75.67,284.13,57.62,80.59,51.13,203.84,127.40,34.43
7/17/2019,113.99,55.64,55.37,135.73,174.67,75.48,127.08,52.48,75.76,285.08,57.21,80.87,50.84,201.80,127.55,34.21
7/18/2019,114.67,56.13,55.60,134.89,173.06,74.84,128.40,53.09,74.37,289.78,57.74,81.06,51.42,200.78,127.05,34.38
7/19/2019,113.54,55.00,55.94,136.23,172.61,74.99,124.82,52.43,75.00,290.00,57.36,78.51,50.65,198.36,128.40,33.91
7/22/2019,114.27,55.06,55.88,135.24,174.64,75.07,126.00,52.34,75.95,296.15,57.73,78.57,51.81,202.32,129.40,33.93
7/23/2019,116.36,55.19,56.29,138.10,177.52,75.37,128.20,51.83,74.12,300.78,57.71,78.84,52.21,202.36,128.25,33.62
7/24/2019,116.83,53.92,57.39,131.91,179.42,75.36,127.95,52.51,75.87,303.77,57.23,80.43,52.17,204.66,127.30,32.74
7/25/2019,115.71,53.77,57.08,134.71,178.13,74.93,127.15,51.91,75.35,300.39,56.62,80.02,51.76,200.71,126.70,32.54
