date,price_amzn,price_sp500
11/01/2012,11.61,1427.59
11/02/2012,11.62,1414.2
11/05/2012,11.72,1417.26
11/06/2012,11.88,1428.39
11/07/2012,11.6,1394.53
11/08/2012,11.37,1377.51
11/09/2012,11.32,1379.85
11/12/2012,11.32,1380.03
11/13/2012,11.33,1374.53
11/14/2012,11.15,1355.49
11/15/2012,11.03,1353.33
11/16/2012,11.26,1359.88
11/19/2012,11.49,1386.89
11/20/2012,11.69,1387.81
11/21/2012,11.9,1391.03
11/23/2012,11.99,1409.15
11/26/2012,12.18,1406.29
11/27/2012,12.17,1398.94
11/28/2012,12.36,1409.93
11/29/2012,12.56,1415.95
11/30/2012,12.6,1416.18
12/03/2012,12.52,1409.46
12/04/2012,12.62,1407.05
12/05/2012,12.7,1409.28
12/06/2012,12.67,1413.94
12/07/2012,12.66,1418.07
12/10/2012,12.39,1418.55
12/11/2012,12.53,1427.84
12/12/2012,12.59,1428.48
12/13/2012,12.56,1419.45
12/14/2012,12.46,1413.58
12/17/2012,12.69,1430.36
12/18/2012,13.02,1446.79
12/19/2012,12.9,1435.81
12/20/2012,13.07,1443.69
12/21/2012,12.85,1430.15
12/24/2012,12.93,1426.66
12/26/2012,12.43,1419.83
12/27/2012,12.42,1418.1
12/28/2012,12.26,1402.43
12/31/2012,12.54,1426.19
01/02/2013,12.87,1462.42
01/03/2013,12.92,1459.37
01/04/2013,12.96,1466.47
01/07/2013,13.42,1461.89
01/08/2013,13.32,1457.15
01/09/2013,13.32,1461.02
01/10/2013,13.27,1472.12
01/11/2013,13.4,1472.05
01/14/2013,13.64,1470.68
01/15/2013,13.6,1472.34
01/16/2013,13.45,1472.63
01/17/2013,13.52,1480.94
01/18/2013,13.61,1485.98
01/22/2013,13.51,1492.56
01/23/2013,13.41,1494.81
01/24/2013,13.68,1494.82
01/25/2013,14.2,1502.96
01/28/2013,13.8,1500.18
01/29/2013,13.02,1507.84
01/30/2013,13.64,1501.96
01/31/2013,13.28,1498.11
02/01/2013,13.25,1513.17
02/04/2013,13,1495.71
02/05/2013,13.34,1511.29
02/06/2013,13.11,1512.12
02/07/2013,13.01,1509.39
02/08/2013,13.1,1517.93
02/11/2013,12.86,1517.01
02/12/2013,12.94,1519.43
02/13/2013,13.47,1520.33
02/14/2013,13.46,1521.38
02/15/2013,13.25,1519.79
02/19/2013,13.49,1530.94
02/20/2013,13.32,1511.95
02/21/2013,13.3,1502.42
02/22/2013,13.27,1515.6
02/25/2013,12.99,1487.85
02/26/2013,12.97,1496.94
02/27/2013,13.16,1515.99
02/28/2013,13.21,1514.68
03/01/2013,13.29,1518.2
03/04/2013,13.66,1525.2
03/05/2013,13.78,1539.79
03/06/2013,13.69,1541.46
03/07/2013,13.69,1544.26
03/08/2013,13.71,1551.18
03/11/2013,13.56,1556.22
03/12/2013,13.71,1552.48
03/13/2013,13.76,1554.52
03/14/2013,13.29,1563.23
03/15/2013,13.09,1560.7
03/18/2013,12.89,1552.1
03/19/2013,12.82,1548.34
03/20/2013,12.86,1558.71
03/21/2013,12.67,1545.8
03/22/2013,12.89,1556.89
03/25/2013,12.8,1551.69
03/26/2013,13.02,1563.77
03/27/2013,13.27,1562.85
03/28/2013,13.32,1569.19
04/01/2013,13.08,1562.17
04/02/2013,13.17,1570.25
04/03/2013,12.95,1553.69
04/04/2013,12.95,1559.98
04/05/2013,12.77,1553.28
04/08/2013,12.95,1563.07
04/09/2013,13.06,1568.61
04/10/2013,13.24,1587.73
04/11/2013,13.49,1593.37
04/12/2013,13.64,1588.85
04/15/2013,13.39,1552.36
04/16/2013,13.62,1574.57
04/17/2013,13.37,1552.01
04/18/2013,12.97,1541.61
04/19/2013,13.02,1555.25
04/22/2013,13.18,1562.5
04/23/2013,13.45,1578.78
04/24/2013,13.44,1578.79
04/25/2013,13.73,1585.16
04/26/2013,12.74,1582.24
04/29/2013,12.49,1593.61
04/30/2013,12.69,1597.57
05/01/2013,12.41,1582.7
05/02/2013,12.63,1597.59
05/03/2013,12.9,1614.42
05/06/2013,12.79,1617.5
05/07/2013,12.89,1625.96
05/08/2013,12.93,1632.69
05/09/2013,13.01,1626.67
05/10/2013,13.18,1633.7
05/13/2013,13.23,1633.77
05/14/2013,13.42,1650.34
05/15/2013,13.33,1658.78
05/16/2013,13.21,1650.47
05/17/2013,13.49,1667.47
05/20/2013,13.38,1666.29
05/21/2013,13.44,1669.16
05/22/2013,13.15,1655.35
05/23/2013,13.09,1650.51
05/24/2013,13.09,1649.6
05/28/2013,13.36,1660.06
05/29/2013,13.28,1648.36
05/30/2013,13.34,1654.41
05/31/2013,13.46,1630.74
06/03/2013,13.34,1640.42
06/04/2013,13.29,1631.38
06/05/2013,13.36,1608.9
06/06/2013,13.39,1622.56
06/07/2013,13.84,1643.38
06/10/2013,14.05,1642.81
06/11/2013,13.74,1626.13
06/12/2013,13.58,1612.52
06/13/2013,13.79,1636.36
06/14/2013,13.7,1626.73
06/17/2013,13.9,1639.04
06/18/2013,14.09,1651.81
06/19/2013,13.91,1628.93
06/20/2013,13.67,1588.19
06/21/2013,13.67,1592.43
06/24/2013,13.53,1573.09
06/25/2013,13.6,1588.03
06/26/2013,13.88,1603.26
06/27/2013,13.88,1613.2
06/28/2013,13.88,1606.28
07/01/2013,14.11,1614.96
07/02/2013,14.19,1614.08
07/03/2013,14.2,1615.41
07/05/2013,14.29,1631.89
07/08/2013,14.53,1640.46
07/09/2013,14.58,1652.32
07/10/2013,14.62,1652.62
07/11/2013,14.98,1675.02
07/12/2013,15.38,1680.19
07/15/2013,15.33,1682.5
07/16/2013,15.34,1676.26
07/17/2013,15.43,1680.91
07/18/2013,15.21,1689.37
07/19/2013,15.26,1692.09
07/22/2013,15.17,1695.53
07/23/2013,15.05,1692.39
07/24/2013,14.95,1685.94
07/25/2013,15.17,1690.25
07/26/2013,15.6,1691.65
07/29/2013,15.3,1685.33
07/30/2013,15.12,1685.96
07/31/2013,15.06,1685.73
08/01/2013,15.28,1706.87
08/02/2013,15.21,1709.67
08/05/2013,15.05,1707.14
08/06/2013,15.04,1697.37
08/07/2013,14.85,1690.91
08/08/2013,14.79,1697.48
08/09/2013,14.86,1691.42
08/12/2013,14.83,1689.47
08/13/2013,14.7,1694.16
08/14/2013,14.57,1685.39
08/15/2013,14.32,1661.32
08/16/2013,14.24,1655.83
08/19/2013,14.28,1646.06
08/20/2013,14.35,1652.35
08/21/2013,14.23,1642.8
08/22/2013,14.49,1656.96
08/23/2013,14.5,1663.5
08/26/2013,14.31,1656.78
08/27/2013,14.05,1630.48
08/28/2013,14.08,1634.96
08/29/2013,14.2,1638.17
08/30/2013,14.05,1632.97
09/03/2013,14.44,1639.77
09/04/2013,14.68,1653.08
09/05/2013,14.71,1655.08
09/06/2013,14.79,1655.17
09/09/2013,14.99,1671.71
09/10/2013,15.02,1683.99
09/11/2013,14.98,1689.13
09/12/2013,14.94,1683.42
09/13/2013,14.9,1687.99
09/16/2013,14.8,1697.6
09/17/2013,15.21,1704.76
09/18/2013,15.6,1725.52
09/19/2013,15.6,1722.34
09/20/2013,15.82,1709.91
09/23/2013,15.57,1701.84
09/24/2013,15.71,1697.42
09/25/2013,15.63,1692.77
09/26/2013,15.91,1698.67
09/27/2013,15.8,1691.75
09/30/2013,15.63,1681.55
10/01/2013,16.05,1695
10/02/2013,16.03,1693.87
10/03/2013,15.74,1678.66
10/04/2013,15.95,1690.5
10/07/2013,15.5,1676.12
10/08/2013,15.16,1655.45
10/09/2013,14.91,1656.4
10/10/2013,15.26,1692.56
10/11/2013,15.54,1703.2
10/14/2013,15.54,1710.14
10/15/2013,15.32,1698.06
10/16/2013,15.52,1721.54
10/17/2013,15.54,1733.15
10/18/2013,16.45,1744.5
10/21/2013,16.32,1744.66
10/22/2013,16.63,1754.67
10/23/2013,16.34,1746.38
10/24/2013,16.61,1752.07
10/25/2013,18.17,1759.77
10/28/2013,17.91,1762.11
10/29/2013,18.14,1771.95
10/30/2013,18.05,1763.31
10/31/2013,18.2,1756.54
11/01/2013,17.95,1761.64
11/04/2013,17.94,1767.93
11/05/2013,17.94,1762.97
11/06/2013,17.81,1770.49
11/07/2013,17.18,1747.15
11/08/2013,17.52,1770.61
11/11/2013,17.72,1771.89
11/12/2013,17.48,1767.69
11/13/2013,17.81,1782
11/14/2013,18.37,1790.62
11/15/2013,18.46,1798.18
11/18/2013,18.31,1791.53
11/19/2013,18.25,1787.87
11/20/2013,18.13,1781.37
11/21/2013,18.45,1795.85
11/22/2013,18.62,1804.76
11/25/2013,18.83,1802.48
11/26/2013,19.07,1802.75
11/27/2013,19.34,1807.23
11/29/2013,19.68,1805.81
12/02/2013,19.61,1800.9
12/03/2013,19.23,1795.15
12/04/2013,19.3,1792.81
12/05/2013,19.22,1785.03
12/06/2013,19.35,1805.09
12/09/2013,19.24,1808.37
12/10/2013,19.39,1802.62
12/11/2013,19.11,1782.22
12/12/2013,19.06,1775.5
12/13/2013,19.21,1775.32
12/16/2013,19.45,1786.54
12/17/2013,19.38,1781
12/18/2013,19.8,1810.65
12/19/2013,19.76,1809.6
12/20/2013,20.11,1818.32
12/23/2013,20.15,1827.99
12/24/2013,19.96,1833.32
12/26/2013,20.22,1842.02
12/27/2013,19.9,1841.4
12/30/2013,19.67,1841.07
12/31/2013,19.94,1848.36
01/02/2014,19.9,1831.98
01/03/2014,19.82,1831.37
01/06/2014,19.68,1826.77
01/07/2014,19.9,1837.88
01/08/2014,20.1,1837.49
01/09/2014,20.05,1838.13
01/10/2014,19.88,1842.37
01/13/2014,19.55,1819.2
01/14/2014,19.88,1838.88
01/15/2014,19.79,1848.38
01/16/2014,19.79,1845.89
01/17/2014,19.98,1838.7
01/21/2014,20.35,1843.8
01/22/2014,20.23,1844.86
01/23/2014,19.99,1828.46
01/24/2014,19.38,1790.29
01/27/2014,19.31,1781.56
01/28/2014,19.72,1792.5
01/29/2014,19.21,1774.2
01/30/2014,20.15,1794.19
01/31/2014,17.93,1782.59
02/03/2014,17.31,1741.89
02/04/2014,17.4,1755.2
02/05/2014,17.32,1751.64
02/06/2014,17.73,1773.43
02/07/2014,18.05,1797.02
02/10/2014,18.04,1799.84
02/11/2014,18.09,1819.75
02/12/2014,17.46,1819.26
02/13/2014,17.86,1829.83
02/14/2014,17.87,1838.63
02/18/2014,17.68,1840.76
02/19/2014,17.37,1828.75
02/20/2014,17.49,1839.78
02/21/2014,17.34,1836.25
02/24/2014,17.59,1847.61
02/25/2014,17.92,1845.12
02/26/2014,17.99,1845.16
02/27/2014,18.01,1854.29
02/28/2014,18.11,1859.45
03/03/2014,17.99,1845.73
03/04/2014,18.2,1873.91
03/05/2014,18.62,1873.81
03/06/2014,18.61,1877.03
03/07/2014,18.6,1878.04
03/10/2014,18.53,1877.17
03/11/2014,18.44,1867.63
03/12/2014,18.53,1868.2
03/13/2014,18.58,1846.34
03/14/2014,18.69,1841.13
03/17/2014,18.75,1858.83
03/18/2014,18.94,1872.25
03/19/2014,18.66,1860.77
03/20/2014,18.45,1872.01
03/21/2014,18.03,1866.52
03/24/2014,17.59,1857.44
03/25/2014,17.74,1865.62
03/26/2014,17.17,1852.56
03/27/2014,16.92,1849.04
03/28/2014,16.91,1857.62
03/31/2014,16.82,1872.34
04/01/2014,17.15,1885.52
04/02/2014,17.1,1890.9
04/03/2014,16.68,1888.77
04/04/2014,16.15,1865.09
04/07/2014,15.89,1845.04
04/08/2014,16.35,1851.96
04/09/2014,16.59,1872.18
04/10/2014,15.86,1833.08
04/11/2014,15.59,1815.69
04/14/2014,15.8,1830.61
04/15/2014,15.8,1842.98
04/16/2014,16.18,1862.31
04/17/2014,16.25,1864.85
04/21/2014,16.54,1871.89
04/22/2014,16.47,1879.55
04/23/2014,16.23,1875.39
04/24/2014,16.86,1878.61
04/25/2014,15.19,1863.4
04/28/2014,14.83,1869.43
04/29/2014,15.02,1878.33
04/30/2014,15.21,1883.95
05/01/2014,15.39,1883.68
05/02/2014,15.4,1881.14
05/05/2014,15.5,1884.66
05/06/2014,14.87,1867.72
05/07/2014,14.64,1878.21
05/08/2014,14.42,1875.63
05/09/2014,14.61,1878.48
05/12/2014,15.14,1896.65
05/13/2014,15.23,1897.45
05/14/2014,14.88,1888.53
05/15/2014,14.76,1870.85
05/16/2014,14.88,1877.86
05/19/2014,14.84,1885.08
05/20/2014,15.06,1872.83
05/21/2014,15.25,1888.03
05/22/2014,15.25,1892.49
05/23/2014,15.61,1900.53
05/27/2014,15.54,1911.91
05/28/2014,15.51,1909.78
05/29/2014,15.69,1920.03
05/30/2014,15.63,1923.57
06/02/2014,15.44,1924.97
06/03/2014,15.36,1924.24
06/04/2014,15.34,1927.88
06/05/2014,16.18,1940.46
06/06/2014,16.48,1949.44
06/09/2014,16.38,1951.27
06/10/2014,16.62,1950.79
06/11/2014,16.76,1943.89
06/12/2014,16.3,1930.11
06/13/2014,16.31,1936.16
06/16/2014,16.38,1937.78
06/17/2014,16.28,1941.99
06/18/2014,16.72,1956.98
06/19/2014,16.35,1959.48
06/20/2014,16.21,1962.87
06/23/2014,16.36,1962.61
06/24/2014,16.21,1949.98
06/25/2014,16.37,1959.53
06/26/2014,16.28,1957.22
06/27/2014,16.23,1960.96
06/30/2014,16.24,1960.23
07/01/2014,16.62,1973.32
07/02/2014,16.64,1974.62
07/03/2014,16.87,1985.44
07/07/2014,16.68,1977.65
07/08/2014,16.19,1963.71
07/09/2014,16.5,1972.83
07/10/2014,16.4,1964.68
07/11/2014,17.31,1967.57
07/14/2014,17.77,1977.1
07/15/2014,17.72,1973.28
07/16/2014,17.8,1981.57
07/17/2014,17.62,1958.12
07/18/2014,17.93,1978.22
07/21/2014,17.99,1973.63
07/22/2014,18.04,1983.53
07/23/2014,17.91,1987.01
07/24/2014,17.93,1987.98
07/25/2014,16.2,1978.34
07/28/2014,16.02,1978.91
07/29/2014,16,1969.95
07/30/2014,16.13,1970.07
07/31/2014,15.65,1930.67
08/01/2014,15.35,1925.15
08/04/2014,15.68,1938.99
08/05/2014,15.62,1920.21
08/06/2014,15.69,1920.24
08/07/2014,15.57,1909.57
08/08/2014,15.84,1931.59
08/11/2014,15.92,1936.92
08/12/2014,15.97,1933.75
08/13/2014,16.31,1946.72
08/14/2014,16.66,1955.18
08/15/2014,16.68,1955.06
08/18/2014,16.73,1971.74
08/19/2014,16.76,1981.6
08/20/2014,16.79,1986.51
08/21/2014,16.65,1992.37
08/22/2014,16.58,1988.4
08/25/2014,16.7,1997.92
08/26/2014,17.09,2000.02
08/27/2014,17.16,2000.12
08/28/2014,17,1996.74
08/29/2014,16.95,2003.37
09/02/2014,17.12,2002.28
09/03/2014,16.95,2000.72
09/04/2014,17.3,1997.65
09/05/2014,17.32,2007.71
09/08/2014,17.12,2001.54
09/09/2014,16.49,1988.44
09/10/2014,16.57,1995.69
09/11/2014,16.53,1997.45
09/12/2014,16.56,1985.54
09/15/2014,16.19,1984.13
09/16/2014,16.39,1998.98
09/17/2014,16.2,2001.57
09/18/2014,16.25,2011.36
09/19/2014,16.57,2010.4
09/22/2014,16.23,1994.29
09/23/2014,16.18,1982.77
09/24/2014,16.41,1998.3
09/25/2014,16.1,1965.99
09/26/2014,16.16,1982.85
09/29/2014,16.09,1977.8
09/30/2014,16.12,1972.29
10/01/2014,15.87,1946.16
10/02/2014,15.92,1946.17
10/03/2014,16.14,1967.9
10/06/2014,16.11,1964.82
10/07/2014,15.85,1935.1
10/08/2014,16.14,1968.89
10/09/2014,15.77,1928.21
10/10/2014,15.57,1906.13
10/13/2014,15.32,1874.74
10/14/2014,15.42,1877.7
10/15/2014,15.3,1862.49
10/16/2014,15.14,1862.76
10/17/2014,15.18,1886.76
10/20/2014,15.31,1904.01
10/21/2014,15.77,1941.28
10/22/2014,15.65,1927.11
10/23/2014,15.66,1950.82
10/24/2014,14.35,1964.58
10/27/2014,14.5,1961.63
10/28/2014,14.78,1985.05
10/29/2014,14.71,1982.3
10/30/2014,14.95,1994.65
10/31/2014,15.27,2018.05
11/03/2014,15.29,2017.81
11/04/2014,15.14,2012.1
11/05/2014,14.83,2023.57
11/06/2014,14.83,2031.21
11/07/2014,14.99,2031.92
11/10/2014,15.26,2038.26
11/11/2014,15.6,2039.68
11/12/2014,15.58,2038.25
11/13/2014,15.82,2039.33
11/14/2014,16.39,2039.82
11/17/2014,16.15,2041.32
11/18/2014,16.25,2051.8
11/19/2014,16.33,2048.72
11/20/2014,16.53,2052.75
11/21/2014,16.63,2063.5
11/24/2014,16.78,2069.41
11/25/2014,16.75,2067.03
11/26/2014,16.68,2072.83
11/28/2014,16.93,2067.56
12/01/2014,16.3,2053.44
12/02/2014,16.32,2066.55
12/03/2014,15.82,2074.33
12/04/2014,15.85,2071.92
12/05/2014,15.63,2075.37
12/08/2014,15.33,2060.31
12/09/2014,15.62,2059.82
12/10/2014,15.29,2026.14
12/11/2014,15.37,2035.33
12/12/2014,15.37,2002.33
12/15/2014,15.3,1989.63
12/16/2014,14.75,1972.74
12/17/2014,14.94,2012.89
12/18/2014,14.89,2061.23
12/19/2014,14.99,2070.65
12/22/2014,15.33,2078.54
12/23/2014,15.31,2082.17
12/24/2014,15.15,2081.88
12/26/2014,15.45,2088.77
12/29/2014,15.6,2090.57
12/30/2014,15.52,2080.35
12/31/2014,15.52,2058.9
01/02/2015,15.43,2058.2
01/05/2015,15.11,2020.58
01/06/2015,14.76,2002.61
01/07/2015,14.92,2025.9
01/08/2015,15.02,2062.14
01/09/2015,14.85,2044.81
01/12/2015,14.57,2028.26
01/13/2015,14.74,2023.03
01/14/2015,14.66,2011.27
01/15/2015,14.35,1992.67
01/16/2015,14.54,2019.42
01/20/2015,14.47,2022.55
01/21/2015,14.86,2032.12
01/22/2015,15.52,2063.15
01/23/2015,15.62,2051.82
01/26/2015,15.48,2057.09
01/27/2015,15.34,2029.55
01/28/2015,15.2,2002.16
01/29/2015,15.59,2021.25
01/30/2015,17.73,1994.99
02/02/2015,18.22,2020.85
02/03/2015,18.18,2050.03
02/04/2015,18.24,2041.51
02/05/2015,18.69,2062.52
02/06/2015,18.71,2055.47
02/09/2015,18.53,2046.74
02/10/2015,18.65,2068.59
02/11/2015,18.76,2068.53
02/12/2015,18.86,2088.48
02/13/2015,19.09,2096.99
02/17/2015,18.77,2100.34
02/18/2015,18.67,2099.68
02/19/2015,18.95,2097.45
02/20/2015,19.18,2110.3
02/23/2015,19.01,2109.66
02/24/2015,18.93,2115.48
02/25/2015,19.27,2113.86
02/26/2015,19.24,2110.74
02/27/2015,19.01,2104.5
03/02/2015,19.28,2117.39
03/03/2015,19.23,2107.78
03/04/2015,19.14,2098.53
03/05/2015,19.39,2101.04
03/06/2015,19,2071.26
03/09/2015,18.93,2079.43
03/10/2015,18.48,2044.16
03/11/2015,18.32,2040.24
03/12/2015,18.71,2065.95
03/13/2015,18.53,2053.4
03/16/2015,18.67,2081.19
03/17/2015,18.6,2074.28
03/18/2015,18.76,2099.5
