Date,Price
11/01/2017,"2,579.40"
11/02/2017,"2,579.90"
11/03/2017,"2,587.80"
11/06/2017,"2,591.10"
11/07/2017,"2,590.60"
11/08/2017,"2,594.40"
11/09/2017,"2,584.60"
11/10/2017,"2,582.30"
11/13/2017,"2,584.80"
11/14/2017,"2,578.90"
11/15/2017,"2,564.60"
11/16/2017,"2,585.60"
11/17/2017,"2,578.90"
11/20/2017,"2,582.10"
11/21/2017,"2,599.00"
11/22/2017,"2,597.10"
11/23/2017,"2,595.00"
11/24/2017,"2,602.40"
11/27/2017,"2,601.40"
11/28/2017,"2,627.00"
11/29/2017,"2,626.10"
11/30/2017,"2,647.60"
12/01/2017,"2,642.20"
12/04/2017,"2,639.40"
12/05/2017,"2,629.60"
12/06/2017,"2,629.30"
12/07/2017,"2,637.00"
12/08/2017,"2,651.50"
12/11/2017,"2,660.00"
12/12/2017,"2,664.10"
12/13/2017,"2,662.90"
12/14/2017,"2,652.00"
12/15/2017,"2,675.80"
12/18/2017,"2,690.20"
12/19/2017,"2,681.50"
12/20/2017,"2,679.30"
12/21/2017,"2,684.60"
12/22/2017,"2,683.30"
12/25/2017,"2,688.30"
12/26/2017,"2,680.50"
12/27/2017,"2,682.60"
12/28/2017,"2,687.50"
12/29/2017,"2,673.60"
01/01/2018,"2,680.80"
01/02/2018,"2,695.80"
01/03/2018,"2,713.10"
01/04/2018,"2,724.00"
01/05/2018,"2,743.10"
01/08/2018,"2,747.70"
01/09/2018,"2,751.30"
01/10/2018,"2,748.20"
01/11/2018,"2,767.60"
01/12/2018,"2,786.20"
01/14/2018,"2,795.50"
01/15/2018,"2,793.80"
01/16/2018,"2,776.40"
01/17/2018,"2,802.60"
01/18/2018,"2,798.00"
01/19/2018,"2,810.30"
01/22/2018,"2,833.00"
01/23/2018,"2,839.10"
01/24/2018,"2,837.50"
01/25/2018,"2,839.30"
01/26/2018,"2,872.90"
01/29/2018,"2,853.50"
01/30/2018,"2,822.40"
01/31/2018,"2,823.80"
02/01/2018,"2,822.00"
02/02/2018,"2,762.10"
02/05/2018,"2,648.90"
02/06/2018,"2,695.10"
02/07/2018,"2,681.70"
02/08/2018,"2,581.00"
02/09/2018,"2,619.60"
02/12/2018,"2,656.00"
02/13/2018,"2,662.90"
02/14/2018,"2,698.60"
02/15/2018,"2,731.20"
02/16/2018,"2,732.20"
02/18/2018,"2,740.30"
02/19/2018,"2,730.80"
02/20/2018,"2,716.30"
02/21/2018,"2,701.30"
02/22/2018,"2,704.00"
02/23/2018,"2,747.30"
02/26/2018,"2,779.60"
02/27/2018,"2,744.30"
02/28/2018,"2,713.80"
03/01/2018,"2,677.70"
03/02/2018,"2,691.30"
03/05/2018,"2,720.90"
03/06/2018,"2,728.10"
03/07/2018,"2,726.80"
03/08/2018,"2,739.00"
03/09/2018,"2,786.60"
03/12/2018,"2,783.00"
03/13/2018,"2,765.30"
03/14/2018,"2,749.50"
03/15/2018,"2,747.30"
03/16/2018,"2,752.00"
03/19/2018,"2,712.90"
03/20/2018,"2,716.90"
03/21/2018,"2,711.90"
03/22/2018,"2,643.70"
03/23/2018,"2,588.30"
03/26/2018,"2,658.60"
03/27/2018,"2,612.60"
03/28/2018,"2,605.00"
03/29/2018,"2,640.90"
04/02/2018,"2,581.90"
04/03/2018,"2,614.40"
04/04/2018,"2,644.70"
04/05/2018,"2,662.80"
04/06/2018,"2,604.50"
04/09/2018,"2,613.20"
04/10/2018,"2,656.90"
04/11/2018,"2,642.20"
04/12/2018,"2,664.00"
04/13/2018,"2,656.30"
04/16/2018,"2,677.80"
04/17/2018,"2,706.40"
04/18/2018,"2,708.60"
04/19/2018,"2,693.10"
04/20/2018,"2,670.10"
04/23/2018,"2,670.30"
04/24/2018,"2,634.60"
04/25/2018,"2,639.40"
04/26/2018,"2,666.90"
04/27/2018,"2,669.90"
04/30/2018,"2,648.10"
05/01/2018,"2,654.80"
05/02/2018,"2,635.70"
05/03/2018,"2,629.70"
05/04/2018,"2,663.40"
05/07/2018,"2,672.60"
05/08/2018,"2,671.90"
05/09/2018,"2,697.80"
05/10/2018,"2,723.10"
05/11/2018,"2,727.70"
05/14/2018,"2,730.10"
05/15/2018,"2,711.40"
05/16/2018,"2,722.50"
05/17/2018,"2,720.10"
05/18/2018,"2,713.00"
05/21/2018,"2,733.00"
05/22/2018,"2,724.40"
05/23/2018,"2,733.30"
05/24/2018,"2,727.80"
05/25/2018,"2,721.30"
05/27/2018,"2,729.50"
05/28/2018,"2,722.00"
05/29/2018,"2,689.90"
05/30/2018,"2,724.00"
05/31/2018,"2,705.30"
06/01/2018,"2,734.60"
06/04/2018,"2,746.90"
06/05/2018,"2,748.80"
06/06/2018,"2,772.40"
06/07/2018,"2,770.40"
06/08/2018,"2,779.00"
06/11/2018,"2,782.00"
06/12/2018,"2,786.90"
06/13/2018,"2,775.60"
06/14/2018,"2,782.50"
06/15/2018,"2,779.70"
06/18/2018,"2,773.80"
06/19/2018,"2,762.60"
06/20/2018,"2,767.30"
06/21/2018,"2,749.80"
06/22/2018,"2,754.90"
06/25/2018,"2,717.10"
06/26/2018,"2,723.10"
06/27/2018,"2,699.60"
06/28/2018,"2,716.30"
06/29/2018,"2,718.40"
07/02/2018,"2,726.70"
07/03/2018,"2,713.20"
07/04/2018,"2,719.80"
07/05/2018,"2,736.60"
07/06/2018,"2,759.80"
07/09/2018,"2,784.20"
07/10/2018,"2,793.80"
07/11/2018,"2,774.00"
07/12/2018,"2,798.30"
07/13/2018,"2,801.30"
07/16/2018,"2,798.40"
07/17/2018,"2,809.60"
07/18/2018,"2,815.60"
07/19/2018,"2,804.50"
07/20/2018,"2,801.80"
07/23/2018,"2,807.00"
07/24/2018,"2,820.40"
07/25/2018,"2,846.10"
07/26/2018,"2,837.40"
07/27/2018,"2,818.80"
07/30/2018,"2,802.60"
07/31/2018,"2,816.30"
08/01/2018,"2,813.40"
08/02/2018,"2,827.20"
08/03/2018,"2,840.40"
